English, Arabic
play,يلعب
looks,يبدو
couldn,يمكن
fucking,سخيف
problem,مشكلة
few,عدد قليل
friends,أصدقاء
gotta,فلدي
ago,منذ
open,يفتح
anyone,أي شخص
killed,قتل
hope,يأمل
face,وجه
until,حتى
lost,ضائع
police,شرطة
excuse,عذر
turn,دور
business,عمل
case,قضية
wants,يريد
says,يقول
true,حقيقي
die,يموت
heart,قلب
soon,قريباً
each,كل
worry,يقلق
later,لاحقاً
year,سنة
watch,يشاهد
music,موسيقى
hand,يُسلِّم
having,وجود
probably,من المحتمل
beautiful,جميل
doctor,طبيب
sit,يجلس
eat,يأكل
thinking,التفكير
young,شاب
second,ثانية
working,عمل
water,ماء
person,شخص
part,جزء
kids,أطفال
late,متأخر
stuff,أشياء
exactly,بالضبط
under,تحت
death,موت
minute,دقيقة
pay,يدفع
crazy,مجنون
forget,ينسى
everybody,الجميع
kid,طفل
change,يتغير
gave,أعطى
happen,يحدث
damn,اللعنة
five,خمسة
drink,شرب
far,بعيد
knows,يعرف
its,إنه
whatever,أيا كان
eyes,عيون
shut,اغلق
aren,آرين
hit,يضرب
taking,أخذ
easy,سهل
times,مرات
check,يفحص
hands,الأيدي
minutes,دقائق
deal,اتفاق
different,مختلف
means,وسائل
point,نقطة
inside,داخل
makes,يجعل
asked,سأل
somebody,شخص ما
mine,مِلكِي
making,تحضير
body,جسم
afraid,خائف
sleep,ينام
chance,فرصة
dear,عزيزي
quite,تمامًا
four,أربعة
anyway,على أي حال
close,يغلق
ain,عين
party,حزب
fun,هزار
against,ضد
word,كلمة
comes,يأتي
important,مهم
set,تعيين
shall,سوف
story,قصة
number,رقم
daughter,بنت
least,الأقل
waiting,منتظر
hurt,يؤذي
wish,يتمنى
moment,لحظة
fight,يعارك
week,أسبوع
husband,زوج
girls,فتيات
rest,استراحة
married,متزوج
fire,نار
game,لعبة
nobody,لا أحد
mr,السيد
children,أطفال
side,جانب
stand,يقف
read,يقرأ
though,رغم ذلك
cut,يقطع
started,بدأ
sister,أخت
supposed,مفترض
between,بين
child,طفل
goes,يذهب
hours,ساعات
speak,يتكلم
women,نحيف
behind,خلف
almost,بالكاد
truth,حقيقة
blood,دم
able,قادر
lady,سيدة
anymore,بعد الآن
playing,اللعب
gets,يحصل
shot,طلقة
reason,سبب
trouble,مشكلة
break,استراحة
war,حرب
city,مدينة
walk,يمشي
town,بلدة
trust,يثق
dr.,دكتور.
met,التقى
office,مكتب
question,سؤال
brought,أحضر
yours,لك
welcome,مرحباً
high,عالي
wow,رائع
couple,زوج
half,نصف
died,مات
cool,رائع
free,حر
either,أيضاً
seems,يبدو
power,قوة
whoa,قف
bye,الوداع
buy,يشتري
telling,يقول
honey,عسل
tried,حاول
front,أمام
team,فريق
answer,إجابة
gun,بندقية
boys,الأولاد
line,خط
send,يرسل
news,أخبار
stupid,غبي
bed,سرير
hurry,عجل
full,ممتلىء
months,شهور
save,يحفظ
sometimes,أحيانا
become,يصبح
along,على امتداد
hate,يكره
food,طعام
outside,الخارج
light,ضوء
l,ل
needs,الاحتياجات
dog,كلب
country,دولة
clear,واضح
order,طلب
em,م
fact,حقيقة
lord,رب
captain,قبطان
six,ستة
hot,حار
funny,مضحك
black,أسود
mrs.,السّيدة.
alive,على قيد الحياة
pick,يختار
feeling,إحساس
living,معيشة
cause,سبب
ahead,قدما
lose,يخسر
king,ملِك
plan,يخطط
dinner,عشاء
sighs,يتنهد
sort,نوع
leaving,مغادرة
shouldn,ينبغي
running,جري
boss,رئيس
alright,على ما يرام
promise,يعد
taken,مأخوذ
safe,آمن
ma,أماه
book,كتاب
sent,مرسل
white,أبيض
hour,ساعة
anybody,أي شخص
small,صغير
perfect,ممتاز
'cause,'سبب
lives,حياة
special,خاص
parents,آباء
s,ق
john,جون
himself,نفسه
perhaps,ربما
sounds,يبدو
serious,جاد
sick,مريض
company,شركة
ha,ها
scared,مقدس
uncle,عم
poor,فقير
red,أحمر
past,ماضي
earth,أرض
possible,ممكن
shoot,تبادل لاطلاق النار
touch,يلمس
sound,صوت
top,قمة
ass,مؤخرة
laughs,يضحك
cannot,لا أستطيع
asking,يسأل
win,يفوز
glad,مسرور
control,يتحكم
hmm,همم
human,بشر
drive,يقود
hair,شعر
jack,جاك
bitch,عاهرة
luck,حظ
murder,قتل
happens,يحدث
air,هواء
ten,عشرة
daddy,بابي
finally,أخيراً
chuckles,ضحكة مكتومة
fast,سريع
cold,بارد
seem,يبدو
laughing,يضحك
words,كلمات
hospital,مستشفى
street,شارع
hang,يشنق
dance,رقص
meeting,مقابلة
till,حتى
others,آحرون
catch,يمسك
follow,يتبع
sense,حاسة
sex,الجنس
lie,كذب
evening,مساء
master,يتقن
known,معروف
dream,حلم
write,يكتب
million,مليون
voice,صوت
sweet,حلو
rather,بدلاً
felt,شعر
sign,لافتة
lucky,محظوظ
somewhere,مكان ما
bet,رهان
o,س
jesus,عيسى
longer,لفترة أطول
calling,الاتصال
worked,عملت
quiet,هادئ
looked,بدا
less,أقل
pull,يحذب
beat,يهزم
careful,حذرا
coffee,قهوة
return,يعود
secret,سر
weeks,أسابيع
weren,وارين
date,تاريخ
seeing,رؤية
fall,يسقط
given,منح
ooh,أوه
fault,عيب
straight,مستقيم
takes,يأخذ
song,أغنية
future,مستقبل
gentlemen,السادة المحترمون
loved,أحب
changed,تغير
road,طريق
calm,هادئ
wonderful,رائع
mad,مجنون
turned,تحولت
drop,يسقط
ladies,السيدات
learn,يتعلم
step,خطوة
absolutely,قطعاً
early,مبكر
explain,يشرح
clean,ينظف
piece,قطعة
yesterday,أمس
throw,يرمي
picture,صورة
land,أرض
feet,قدم
wonder,يتعجب
questions,أسئلة
speaking,تكلم
worth,يستحق
darling,محبوب
dude,يا صديقي
giving,العطاء
president,رئيس
eye,عين
quick,سريع
moving,تتحرك
figure,شكل
state,ولاية
strong,قوي
sam,سام
none,لا أحد
amazing,مدهش
ones,تلك
works,يعمل
act,يمثل
needed,ضروري
weird,غريب
law,قانون
worried,قلق
report,تقرير
goodbye,مع السلامة
missing,مفتقد
choice,خيار
happening,يحدث
chief,رئيس
wedding,قِرَان
strange,غريب
general,عام
pain,ألم
'am,'أكون
kidding,يمازج
decided,مقرر
ya,نعم
pass,يمر
tired,مرهق
class,فصل
officer,ضابط
kept,أبقى
wake,استيقظ
worse,أسوأ
busy,مشغول
eh,ايه
mistake,خطأ
kiss,قبلة
court,محكمة
building,مبنى
finish,ينهي
during,خلال
age,عمر
ship,سفينة
caught,أمسك
marry,الزواج
meant,عنى
sell,يبيع
dark,مظلم
watching,مراقبة
system,نظام
suppose,يفترض
evidence,شهادة
movie,فيلم
ride,يركب
t,ر
completely,بالكامل
mouth,فم
totally,تماما
birthday,عيد ميلاد
tv,تلفزيون
forgive,يغفر
born,وُلِدّ
imagine,يتصور
information,معلومة
instead,بدلاً من
definitely,قطعاً
security,حماية
certainly,بالتأكيد
film,فيلم
month,شهر
lying,يكذب
unless,إلا إذا
train,يدرب
seven,سبعة
wear,يرتدي
clothes,ملابس
michael,مايكل
hotel,الفندق
christmas,عيد الميلاد
attack,هجوم
hasn,hasn
round,دائري
expect,يتوقع
sing,يغني
terrible,رهيب
george,جورج
bag,شنطة
history,تاريخ
blue,أزرق
near,قريب
broke,كسر
station,محطة
seriously,بجد
forever,للأبد
david,ديفيد
frank,صريح
except,يستثني
thinks,يعتقد
message,رسالة
entire,كامل
joe,جو
table,طاولة
talked,تحدث
across,عير
rock,صخر
lovely,محبوب
handle,مقبض
middle,وسط
buddy,صاحب
paid,مدفوع
protect,يحمي
using,استخدام
floor,أرضية
ran,ركض
swear,يُقسم
spend,ينفق
situation,الموقف
ring,جرس
anywhere,في أي مكان
dangerous,خطير
bill,فاتورة
york,نيويورك
army,جيش
lead,يقود
bought,مُشترى
finished,انتهى
fair,عدل
sun,شمس
letter,خطاب
fool,أحمق
attention,انتباه
club,club
simple,بسيط
interesting,مثير للاهتمام
space,فضاء
test,امتحان
box,صندوق
group,مجموعة
single,أعزب
sitting,يجلس
marriage,زواج
join,ينضم
fear,يخاف
d,د
peace,سلام
forgot,نسيت
force,قوة
short,قصير
normal,طبيعي
charlie,تشارلي
present,حاضر
enjoy,يتمتع
mike,مايك
crime,جريمة
horse,حصان
ground,أرضي
american,أمريكي
count,عدد
area,منطقة
charge,تكلفة
honor,شرف
lunch,غداء
miles,أميال
radio,راديو
idiot,غبي
ball,كرة
surprise,مفاجأة
paper,ورق
key,مفتاح
boat,قارب
quickly,بسرعة
gold,ذهب
bar,حاجِز
fish,سمكة
mark,علامة
tom,توم
wearing,يرتدي
crying,بكاء
accident,حادثة
government,حكومة
eight,ثمانية
fell,يسقط
cover,غطاء
certain,تأكيد
interested,مهتم
deep,عميق
star,نجم
sea,بحر
agree,يوافق
problems,مشاكل
detective,المحقق
prison,سجن
major,رئيسي
stick,يلزق
offer,يعرض
difficult,صعب
smart,ذكي
personal,شخصي
record,سِجِلّ
stopped,توقف
hide,يخفي
whether,سواء
bank,بنك
trip,رحلة
relax,يستريح
america,أمريكا
public,عام
list,قائمة
afternoon,بعد الظهر
brain,مخ
fix,يصلح
bastard,نذل
proud,فخور
tea,شاي
service,خدمة
screaming,صراخ
forward,إلى الأمام
angry,غاضب
park,حديقة
soul,روح
fighting,القتال
peter,بيتر
rich,ثري
agent,عامل
blow,ينفخ
paul,بول
dress,فستان
mary,ماري
missed,مٌفتَقد
scene,مشهد
killing,قتل
standing,واقفاً
saved,أنقذ
mm,مم
respect,احترام
killer,القاتل
ice,الجليد
mess,فوضى
tough,قاسٍ
feels,يشعر
church,كنيسة
sad,حزين
cell,خلية
drunk,في حالة سكر
share,يشارك
camera,آلة تصوير
mm-hmm,مم هممم
within,داخل
card,بطاقة
fly,سافر
ben,بن
girlfriend,صديقة
laugh,يضحك
smell,يشم
broken,مكسور
mum,ماما
honest,أمين
often,غالباً
starting,البدء
calls,المكالمات
y,ذ
spent,قضى
third,ثالث
english,إنجليزي
visit,يزور
mama,ماما
judge,يحكم على
window,نافذة
hungry,جائع
dare,يجرؤ
relationship,علاقة
moved,انتقل
prove,يثبت
private,خاص
wall,حائط
seat,مقعد
i-i,أنا-أنا
position,موضع
lieutenant,ملازم
realize,يدرك
lt,لتر
especially,خصوصاً
machine,آلة
walking,المشي
art,فن
pleasure,سرور
bloody,دموي
college,كلية
french,فرنسي
involved,متضمن
cry,يبكي
became,أصبح
lived,عاش
impossible,مستحيل
obviously,بوضوح
neither,لا
accept,يقبل
boyfriend,صديقها
besides,بجانب
queen,ملكة
teacher,مدرس
cops,رجال شرطة
sake,من أجل
loves,يحب
carry,يحمل
teach,تعليم
apartment,شقة
upset,منزعج
green,أخضر
la,لا
liked,أحب
cute,لطيف
evil,شر
professor,أستاذ
contact,اتصال
joke,نكتة
cop,شرطي
huge,ضخم
holy,مقدس
store,محل
jail,سجن
likes,يحب
lawyer,محامي
doubt,شك
continue,يكمل
appreciate,يُقَدِّر
cat,قطة
shop,محل
driving,القيادة
congratulations,تهانينا
wrote,كتب
village,قرية
quit,يترك
field,مجال
james,جيمس
wine,خمر
decision,قرار
south,جنوب
sleeping,نائم
slow,بطيء
laughter,ضحك
island,جزيرة
glass,زجاج
beginning,بداية
cash,نقدي
dying,الموت
hundred,مائة
whose,لمن
difference,اختلاف
plane,طائرة
push,يدفع
continues,يستمر
mmm,ط ط ط
singing,الغناء
eating,الأكل
north,شمال
mrs,السّيدة
tree,شجرة
madam,سيدتي
gift,هدية
truck,شاحنة
putting,وضع
bear,دُبٌّ
board,سبورة
grab,يمسك
beer,جعة
stuck,عالق
magic,سحر
support,يدعم
rules,قواعد
grunts,همهمات
partner,شريك
reach,يصل
wind,رياح
colonel,عقيد
max,الأعلى
immediately,في الحال
seconds,ثواني
thousand,ألف
gives,يعطي
experience,خبرة
cheers,هتافات
victim,ضحية
upon,على
computer,حاسوب
christ,المسيح
planet,كوكب
promised,وعد
bus,حافلة
henry,هنري
dirty,متسخ
search,يبحث
staying,البقاء
dreams,أحلام
arrest,اعتقال
holding,عقد
suddenly,فجأة
usually,عادة
lots,الكثير
shoes,أحذية
er,إيه
jump,القفز
rid,يتخلص
yo,يو
knock,تدق
owe,يدين
harry,هاري
grow,ينمو
worst,أسوأ
river,نهر
aunt,عمة
patient,مريض
kitchen,مطبخ
aah,آآآه
fat,سمين
passed,اجتاز
m,م
final,أخير
summer,صيف
bob,بوب
listening,الاستماع
escape,يهرب
everywhere,في كل مكان
moon,قمر
arms,الأسلحة
turns,المنعطفات
address,عنوان
ow,آه
match,مباراة
gasps,يلهث
grand,كبير
yep,نعم
shh,صه
nervous,متوتر
de,دي
choose,يختار
themselves,أنفسهم
decide,يقرر
mate,رَفِيق
drinking,الشرب
press,يضعط
bother,يزعج
foot,قدم
hadn,هادن
blame,لوم
crap,هراء
drugs,المخدرات
type,يكتب
rings,حلقات
mission,مهمة
named,اسمه
heaven,سماء
'ii,'ثانيا
picked,اختار
paris,باريس
race,سباق
risk,مخاطرة
books,كتب
further,إضافي
danny,داني
action,فعل
allowed,مسموح
orders,طلبات
learned,تعلمت
price,سعر
arrived,وصل
nick,نيك
otherwise,خلاف ذلك
pictures,صور
fit,ملائم
smoke,دخان
favor,صالح
played,لعبت
notice,يلاحظ
awesome,مذهل
smile,يبتسم
director,مخرج
guard,يحمي
begin,يبدأ
spot,بقعة
surprised,متفاجئ
innocent,البريء
narrator,الراوي
herself,نفسها
london,لندن
feelings,مشاعر
enemy,العدو
battle,معركة
ourselves,أنفسنا
alex,اليكس
dollars,دولار
allow,يسمح
nine,تسعة
gay,مثلي الجنس
department,قسم
guilty,مذنب
apart,منفصل
earlier,سابقًا
duty,واجب
jim,جيم
suit,بدلة
bell,جرس
west,الغرب
legs,الساقين
hero,بطل
destroy,تدمير
stage,منصة
bunch,حزمة
according,حسب
chicken,فرخة
bigger,أكبر
grunting,الشخير
low,قليل
helping,مساعدة
admit,يعترف
closed,مغلق
names,أسماء
witness,شاهد
upstairs,الطابق العلوي
arm,ذراع
steal,يسرق
jimmy,جيمي
kick,ركلة
twice,مرتين
cross,يعبر
ways,طرق
sergeant,رقيب
indeed,بالفعل
gas,غاز
keeping,حفظ
energy,طاقة
pregnant,حامل
waste,يضيع
helped,ساعد
fired,أطلقت
favorite,مفضل
tony,توني
taste,ذوق
locked,مغلق
places,الأماكن
writing,كتابة
adam,آدم
brothers,الاخوة
starts,يبدأ
prince,الأمير
form,استمارة
sold,مُباع
silly,سخيف
mention,يذكر
build,يبني
throat,حُلقُوم
hole,فتحة
figured,أحسب
track,مسار
ringing,رنين
lock,قفل
leg,رجل
above,فوق
hiding,إخفاء
steve,ستيف
seemed,بدا
breakfast,إفطار
engine,محرك
written,مكتوب
complete,مكتمل
video,فيديو
applause,تصفيق
however,لكن
pressure,ضغط
fresh,طازج
weapon,سلاح
sky,سماء
ms.,آنسة.
stole,سرق
study,يذاكر
burn,يحرق
reading,قراءة
crowd,حشد
treat,يعامل
roll,لفافة
double,مزدوج
spirit,روح
danger,خطر
cost,يكلف
empty,فارغ
level,مستوى
memory,ذاكرة
itself,نفسها
acting,التمثيل
interest,اهتمام
nose,أنف
plans,خطط
following,التالي
bathroom,حمام
built,بنيت
closer,أقرب
ray,راي
sarah,سارة
band,فرقة
groans,آهات
apparently,فيما يبدو
excited,متحمس
richard,ريتشارد
losing,خسارة
animals,الحيوانات
flight,رحلة جوية
nature,طبيعة
raise,يرفع
pop,البوب
client,عميل
bomb,قنبلة
neck,رقبة
suspect,يشتبه
warm,دافيء
extra,إضافي
bottle,زجاجة
van,شاحنة
heavy,ثقيل
mommy,الأم
dogs,كلاب
wild,بري
ridiculous,سخيف
simply,ببساطة
lee,لي
animal,حيوان
showed,أظهر
billy,بيلي
shooting,إطلاق نار
keeps,يبقي
camp,مخيم
guns,البنادق
medical,طبي
shame,عار
hoping,على أمل
whom,مَن
bird,طائر
majesty,جلالة
flowers,زهور
famous,مشهور
asleep,نائما
beauty,جمال
driver,driver
keys,مفاتيح
rain,مطر
awful,مريع
large,كبير
local,محلي
deserve,يستحق
goddamn,ملعون
stone,حجر
jane,جين
grace,جمال
consider,يعتبر
weekend,عطلة نهاية الأسبوع
wondering,يتساءل
lay,يضع
plenty,كثير
willing,راغب
pants,بنطال
sweetheart,حبيب
skin,جلد
excellent,ممتاز
asshole,الأحمق
beach,شاطئ
c,ج
faith,إيمان
beg,التسول
fuckin,فوكين
responsible,مسؤول
military,جيش
cheering,هتاف
opportunity,فرصة
common,شائع
bottom,قاع
german,ألمانية
whoever,من
cook,يطبخ
walked,مشى
papers,أوراق
justice,عدالة
hall,قاعة
commander,قائد
drug,دواء
main,رئيسي
knife,سكين
devil,شيطان
necessary,ضروري
although,بالرغم من
princess,أميرة
lights,أضواء
flying,تحلق
dick,قضيب
rose,وَردَة
knowing,معرفة
clearly,بوضوح
hat,قبعة
agreed,متفق
johnny,جوني
corner,ركن
code,شفرة
note,ملحوظة
tommy,تومي
due,حق
correct,صحيح
apologize,يعتذر
language,لغة
stars,النجوم
faster,أسرع
cars,سيارات
folks,يا قوم
bullshit,هراء
i.,أنا.
fellow,زميل
several,عديد
grandma,الجدة
shows,يظهر
leader,قائد
leaves,أوراق
restaurant,مطعم
east,شرق
shouting,الصراخ
blind,أعمى
ghost,شبح
cup,كوب
gotten,حصلت
tight,ضيق
conversation,محادثة
tells,يحكي
lies,يكذب
nor,ولا
pulled,سحبت
hanging,معلق
speed,سرعة
stories,قصص
health,صحة
advice,نصيحة
held,محتجز
uh-huh,اه هاه
murdered,قتل
beyond,وَرَاءَ
rule,قاعدة
hardly,بالكاد
possibly,ربما
inspector,مفتش
cousin,ابن عم
trial,محاكمة
emergency,طارئ
ought,ينبغي
eddie,إدي
somehow,بطريقة أو بأخرى
hearing,السمع
states,الدول
account,حساب
spoke,تكلم
file,ملف
understood,مفهومة
angel,ملاك
tape,الشريط
milk,لبن
powerful,قوي
weapons,أسلحة
practice,يمارس
manager,مدير
pardon,عفو
vote,تصويت
jake,جيك
national,وطني
career,حياة مهنية
minister,وزير
super,ممتاز
taught,مُدَرّس
robert,روبرت
biggest,أكبر
plays,مسرحيات
natural,طبيعي
dancing,الرقص
copy,ينسخ
plus,زائد
martin,مارتن
cake,كعكة
freedom,حرية
among,ضمن
breath,يتنفس
operation,عملية
chris,كريس
crew,طاقم
challenge,تحدي
market,سوق
meat,لحمة
towards,تجاه
bringing,جلب
dropped,انخفض
student,طالب
lied,كذب
strength,قوة
size,مقاس
breathe,يتنفس
color,لون
monster,وحش
loud,عالي
photo,صورة
aw,فصيل عبد الواحد
nearly,تقريبا
sight,رؤية
greatest,أعظم
games,ألعاب
bridge,كوبري
dressed,يرتدي
arrested,اعتقل
horrible,فظيع
coach,مدرب
planning,تخطيط
checked,فحص
breaking,كسر
noticed,لاحظت
fantastic,رائع
screams,صرخات
serve,يخدم
ideas,أفكار
investigation,تحقيق
center,مركز
older,كبار السن
pack,علية
soldiers,جنود
nonsense,هراء
doc,وثيقة
project,مشروع
training,تمرين
example,مثال
trick,حيلة
prepared,مُعد
science,علوم
united,متحد
travel,يسافر
incredible,رائع
grandpa,الجد
paying,دفع
character,شخصية
teeth,أسنان
criminal,مجرم
charles,تشارلز
chinese,الصينية
truly,حقا
honestly,بصدق
bro,أخ
survive,ينجو
bobby,بوبي
target,هدف
feed,يٌطعم
nurse,ممرضة
e,ه
fake,مزيف
records,السجلات
breathing,التنفس
sweetie,حبيبي
numbers,أرقام
oil,زيت
suicide,انتحار
belong,ينتمي ل
whoo,ووو
perfectly,تماما
amy,ايمي
forgotten,منسي
remain,يبقى
original,إبداعي
papa,بابا
onto,على
concerned,قلقان
credit,ائتمان
ugh,لاف
invited,مدعو
discuss,يناقش
research,بحث
easier,أسهل
view,منظر
chair,كرسي
hurts,يؤلم
strike,يضرب
roger,روجر
fill,يملأ
condition,حالة
mountain,جبل
dr,دكتور
nowhere,في أي مكان
sheriff,شريف
kim,كيم
turning,تحول
brown,بني
recognize,يتعرف على
heads,رؤساء
audience,جمهور
'all,'الجميع
jealous,غيور
pretend,يدّعي
society,مجتمع
finding,العثور على
shirt,قميص
comfortable,مريح
meaning,معنى
guest,ضيف
pieces,قِطَع
dry,جاف
letting,السماح
began,بدأ
aye,نعم
jeff,جيف
female,أنثى
release,يطلق
ho,حو
cards,بطاقات
pray,يصلي
unfortunately,للأسف
balls,كرات
destroyed,دمرت
ended,انتهى
universe,الكون
prepare,يحضر
opinion,رأي
movies,أفلام
soldier,جندي
wash,غسل
program,برنامج
heat,حرارة
usual,المعتاد
ticket,تذكرة
stolen,مسروقة
prefer,يفضل
aware,واعي
surely,بالتأكيد
male,ذكر
base,قاعدة
matters,يهم
lift,يرفع
lab,مختبر
command,يأمر
proof,دليل
cream,كريم
selling,بيع
believed,يعتقد
create,يخلق
h,ح
afford,يمنح
sunday,الأحد
total,المجموع
dumb,أحمق
threw,رمى
france,فرنسا
birth,الولادة
created,مخلوق
realized,أدركت
british,بريطاني
noise,ضوضاء
nuts,المكسرات
students,طلاب
birds,الطيور
social,اجتماعي
brilliant,باهِر
bodies,الهيئات
tie,رَابِطَة
opened,مفتوح
ours,لنا
bucks,دولارات
kevin,كيفن
mister,سيد
ugly,قبيح
ryan,ريان
focus,ركز
dan,دان
opens,يفتح
exist,يخرج
followed,يتبع
england,انجلترا
draw,يرسم
purpose,غاية
letters,رسائل
daniel,دانيال
opening,افتتاح
bullet,رصاصة
anna,آنا
lately,مؤخرا
stayed,بقي
falling,هبوط
season,موسم
ends,ينتهي
suggest,يقترح
joy,مرح
distance,مسافة
responsibility,مسؤولية
whenever,حينما
issue,مشكلة
thousands,الآلاف
process,عملية
sword,سيف
shower,دش
weak,ضعيف
fucked,مارس الجنس
lonely,وحيد
happiness,سعادة
eric,اريك
tiny,صغير الحجم
desk,مكتب
pool,حمام سباحة
property,ملكية
forced,القسري
settle,يستقر
indistinct,غير واضح
weight,وزن
received,تلقى
gang,عصابة
bite,يعض
friday,جمعة
disappeared,اختفى
interview,مقابلة
expecting,توقع
kinda,نوعا ما
surgery,جراحة
horses,خيل
mayor,عمدة
babe,فاتنة
ancient,عتيق
handsome,وسيم
thomas,توماس
saturday,السبت
staff,طاقم عمل
lines,خطوط
unit,وحدة
fan,معجب
gentleman,رجل نبيل
introduce,يقدم
fate,قدر
split,ينقسم
recently,حديثاً
expected,مُتوقع
add,يضيف
ordered,أمر
slowly,ببطء
alarm,إنذار
member,عضو
slept,ينام
signed,وقعت
enter,يدخل
spanish,الأسبانية
garden,حديقة
brings,يجلب
brave,شجاع
pig,خنزير
model,نموذج
finger,إصبع
medicine,الدواء
access,وصول
failed,فشل
flat,مستوي
easily,بسهولة
discovered,اكتشف
based,قائم على
screw,أفسد
insane,مجنون
cares,يهتم
weather,طقس
fingers,أصابع
san,سان
scott,سكوت
path,طريق
soft,ناعم
harm,ضرر
style,أسلوب
community,مجتمع
sees,يرى
basically,أساسًا
al,آل
signal,إشارة
nope,لا
spare,إضافي
speech,خطاب
covered,مغطاة
shake,هزة
loose,مرتخي
snow,ثلج
russian,الروسية
lake,بحيرة
bright,ساطع
roof,سَطح
ohh,أوهه
sending,إرسال
paint,طلاء
remind,يتذكر
